################################################################################
# Weather Forecasting Dataset - Seasonal Statistics
# 
# Project: Weather Forecasting Dataset
# Author: Molla Samser | Website: https://rskworld.in
# Email: help@rskworld.in | Phone: +91 93305 39277
# Designer & Tester: Rima Khatun
#
# Description: Monthly and seasonal weather statistics for trend analysis
#
# © 2024 RSK World - https://rskworld.in
################################################################################

year,month,season,location,temp_mean,temp_min,temp_max,temp_std,humidity_mean,humidity_min,humidity_max,pressure_mean,wind_speed_mean,wind_speed_max,precipitation_total,precipitation_days,sunny_days,cloudy_days,rainy_days,foggy_days,aqi_mean,uv_index_max
2023,1,Winter,New Delhi,14.2,4.5,22.8,4.2,72,45,95,1017,8.5,25.2,12.5,3,18,8,3,2,185,5
2023,2,Winter,New Delhi,17.5,7.2,26.5,4.8,62,38,88,1015,10.2,28.5,8.2,2,20,6,2,0,165,6
2023,3,Spring,New Delhi,24.8,14.5,34.2,5.2,48,28,75,1012,12.5,35.2,5.5,2,24,5,2,0,145,8
2023,4,Spring,New Delhi,32.5,22.5,42.8,4.8,35,18,58,1008,15.8,42.5,2.2,1,26,4,1,0,125,10
2023,5,Summer,New Delhi,38.2,28.5,45.5,4.2,32,15,55,1005,18.2,48.5,8.5,2,25,3,3,0,115,11
2023,6,Summer,New Delhi,36.5,27.8,44.2,4.5,52,28,82,1002,22.5,55.2,85.5,8,15,8,8,0,95,10
2023,7,Monsoon,New Delhi,32.8,26.5,38.5,3.2,78,55,95,1000,18.5,45.8,215.5,18,5,8,18,0,72,7
2023,8,Monsoon,New Delhi,31.5,25.8,36.8,2.8,82,62,98,1002,15.2,42.5,245.8,20,4,7,20,0,68,6
2023,9,Monsoon,New Delhi,30.2,24.5,35.5,3.0,75,52,92,1005,12.8,38.5,125.2,12,12,7,12,0,85,8
2023,10,Autumn,New Delhi,28.5,18.5,34.8,4.2,58,35,78,1010,8.5,28.5,15.5,2,24,5,2,0,145,7
2023,11,Autumn,New Delhi,22.5,12.2,30.5,4.5,62,40,85,1015,6.8,22.5,2.5,1,25,4,1,1,175,5
2023,12,Winter,New Delhi,16.2,6.5,24.8,4.2,70,45,92,1018,7.5,20.8,5.2,1,22,5,1,3,195,4
2023,1,Winter,Mumbai,25.5,18.5,32.2,3.2,68,48,85,1013,12.5,28.5,0.0,0,28,3,0,0,85,8
2023,2,Winter,Mumbai,26.8,19.2,33.5,3.5,62,42,78,1012,14.2,32.5,0.0,0,26,2,0,0,78,9
2023,3,Spring,Mumbai,28.5,21.5,35.8,3.8,58,38,75,1010,16.5,38.2,0.0,0,28,3,0,0,72,10
2023,4,Spring,Mumbai,30.2,23.8,36.5,3.2,62,42,82,1008,18.8,42.5,0.5,0,27,3,0,0,68,11
2023,5,Summer,Mumbai,32.5,26.5,38.2,2.8,68,48,88,1006,22.5,48.5,8.5,2,24,4,2,0,62,11
2023,6,Summer,Mumbai,30.8,25.8,35.5,2.2,82,65,95,1004,25.8,55.8,485.5,18,5,7,18,0,55,8
2023,7,Monsoon,Mumbai,28.5,24.5,32.8,1.8,88,72,98,1002,28.5,62.5,745.8,25,2,4,25,0,48,6
2023,8,Monsoon,Mumbai,28.2,24.2,32.5,1.5,90,75,99,1003,26.2,58.5,585.2,22,3,5,22,0,45,5
2023,9,Monsoon,Mumbai,29.5,25.2,34.2,2.0,85,68,95,1006,18.5,45.5,285.5,15,8,7,15,0,52,7
2023,10,Autumn,Mumbai,31.2,25.5,36.5,2.5,72,52,88,1010,14.2,35.5,45.5,4,22,5,4,0,65,9
2023,11,Autumn,Mumbai,30.5,23.8,35.8,2.8,65,45,82,1012,12.8,30.5,12.5,1,26,3,1,0,72,8
