################################################################################
# Weather Forecasting Dataset - Advanced Weather Data
# 
# Project: Weather Forecasting Dataset
# Category: Time Series Data
# Version: 2.0.0
# Created: 2024
#
# Author: Molla Samser
# Designer & Tester: Rima Khatun
# Website: https://rskworld.in
# Email: help@rskworld.in | support@rskworld.in
# Phone: +91 93305 39277
#
# About RSK World:
# RSK World is your one-stop destination for free programming resources,
# source code, and development tools.
#
# Description:
# Advanced weather data with air quality index, solar radiation, soil
# conditions, climate indices, and weather alerts.
#
# © 2024 RSK World - https://rskworld.in
################################################################################

datetime,location,temperature_celsius,feels_like_celsius,humidity_percent,pressure_hpa,wind_speed_kmh,wind_direction_deg,wind_gust_kmh,precipitation_mm,precipitation_type,cloud_cover_percent,visibility_km,uv_index,solar_radiation_wm2,air_quality_index,pm25,pm10,ozone_ppb,no2_ppb,so2_ppb,co_ppm,soil_temperature_celsius,soil_moisture_percent,evapotranspiration_mm,heat_index_celsius,wind_chill_celsius,dew_point_celsius,wet_bulb_celsius,cloud_base_m,weather_code,weather_severity,is_daylight,sunrise,sunset,moon_phase,astronomical_twilight_start,astronomical_twilight_end
2024-01-01 00:00:00,New Delhi,12.5,10.2,78,1015,8.5,45,12.3,0.0,none,45,8.5,0,0,145,85,120,35,28,12,0.8,10.2,35,0.0,12.5,10.2,8.7,10.5,1200,0,0,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 01:00:00,New Delhi,12.0,9.8,79,1015,8.2,42,11.8,0.0,none,47,8.2,0,0,148,88,125,34,29,13,0.9,10.0,35,0.0,12.0,9.8,8.4,10.2,1180,0,0,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 02:00:00,New Delhi,11.5,9.3,81,1016,7.8,40,11.2,0.0,none,50,7.9,0,0,152,92,130,33,30,14,0.9,9.8,36,0.0,11.5,9.3,8.1,9.8,1150,0,0,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 03:00:00,New Delhi,11.2,9.0,82,1016,7.2,38,10.5,0.0,none,52,7.8,0,0,155,95,135,32,31,15,1.0,9.5,36,0.0,11.2,9.0,7.9,9.5,1120,0,0,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 04:00:00,New Delhi,10.8,8.5,84,1017,6.8,35,9.8,0.0,none,55,7.2,0,0,160,100,140,31,32,16,1.0,9.2,37,0.0,10.8,8.5,7.6,9.2,1080,0,0,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 05:00:00,New Delhi,10.5,8.2,85,1017,6.5,32,9.5,0.0,none,58,6.8,0,0,165,105,145,30,33,17,1.1,9.0,37,0.0,10.5,8.2,7.3,8.9,1050,0,0,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 06:00:00,New Delhi,10.8,8.5,85,1017,6.8,30,9.8,0.0,none,60,6.5,1,25,170,110,150,32,35,18,1.2,9.2,37,0.1,10.8,8.5,7.6,9.2,1020,45,1,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 07:00:00,New Delhi,11.5,9.3,82,1018,7.5,35,10.8,0.0,none,55,7.5,2,85,165,105,145,35,33,16,1.1,9.8,36,0.2,11.5,9.3,8.1,9.8,1080,0,0,1,07:15,17:45,0.72,05:45,19:15
2024-01-01 08:00:00,New Delhi,13.0,11.5,76,1018,8.5,42,12.5,0.0,none,45,9.0,3,180,155,95,135,40,30,14,1.0,10.8,35,0.4,13.0,11.5,8.9,10.9,1150,0,0,1,07:15,17:45,0.72,05:45,19:15
2024-01-01 09:00:00,New Delhi,14.5,13.2,72,1018,9.5,48,14.2,0.0,none,35,10.2,4,320,145,85,125,45,28,12,0.9,12.0,34,0.6,14.5,13.2,9.5,11.8,1250,0,0,1,07:15,17:45,0.72,05:45,19:15
