################################################################################
# Weather Forecasting Dataset - Main Weather Data
# 
# Project: Weather Forecasting Dataset
# Category: Time Series Data
# Version: 1.0.0
# Created: 2024
#
# Author: Molla Samser
# Designer & Tester: Rima Khatun
# Website: https://rskworld.in
# Email: help@rskworld.in | support@rskworld.in
# Phone: +91 93305 39277
#
# About RSK World:
# RSK World is your one-stop destination for free programming resources,
# source code, and development tools.
#
# Description:
# This dataset includes historical weather data with temperature, humidity,
# pressure, precipitation, wind speed, and other meteorological variables.
# Perfect for weather forecasting, climate analysis, and time series prediction.
#
# Features:
# - Temperature and humidity data
# - Pressure and precipitation
# - Wind speed and direction
# - Multiple locations
# - Time series format
#
# License: Educational Purpose Only
# Content used for educational purposes only.
#
# © 2024 RSK World - https://rskworld.in
################################################################################

date,time,location,latitude,longitude,temperature_celsius,temperature_fahrenheit,feels_like_celsius,humidity_percent,pressure_hpa,wind_speed_kmh,wind_direction,wind_gust_kmh,precipitation_mm,precipitation_probability,cloud_cover_percent,visibility_km,uv_index,dew_point_celsius,weather_condition,weather_description
2024-01-01,00:00,New Delhi,28.6139,77.2090,12.5,54.5,10.2,78,1015,8.5,NE,12.3,0.0,5,45,8.5,2,8.7,Clear,Clear sky with mild temperatures
2024-01-01,03:00,New Delhi,28.6139,77.2090,11.2,52.2,8.9,82,1016,7.2,N,10.5,0.0,10,52,7.8,1,8.1,Clear,Clear and cold night
2024-01-01,06:00,New Delhi,28.6139,77.2090,10.8,51.4,8.5,85,1017,6.8,NNE,9.8,0.0,8,60,6.5,1,8.3,Fog,Morning fog with low visibility
2024-01-01,09:00,New Delhi,28.6139,77.2090,14.5,58.1,13.2,72,1018,9.5,E,14.2,0.0,5,35,10.2,3,9.5,Partly Cloudy,Warming up with partial clouds
2024-01-01,12:00,New Delhi,28.6139,77.2090,18.2,64.8,17.5,58,1016,12.3,ESE,18.5,0.0,3,28,12.5,5,9.8,Sunny,Clear sunny afternoon
2024-01-01,15:00,New Delhi,28.6139,77.2090,19.5,67.1,18.8,52,1014,14.5,SE,21.2,0.0,5,22,14.0,4,9.2,Sunny,Peak afternoon sunshine
2024-01-01,18:00,New Delhi,28.6139,77.2090,16.8,62.2,15.5,65,1015,10.2,S,15.8,0.0,8,38,11.5,2,10.5,Clear,Evening cooling begins
2024-01-01,21:00,New Delhi,28.6139,77.2090,14.2,57.6,12.8,75,1016,8.5,SSW,12.5,0.0,10,48,9.2,0,10.2,Clear,Cool and clear night
2024-01-02,00:00,New Delhi,28.6139,77.2090,13.0,55.4,10.8,80,1017,7.5,SW,11.2,0.0,12,55,8.0,0,9.5,Partly Cloudy,Mild night with some clouds
2024-01-02,03:00,New Delhi,28.6139,77.2090,11.5,52.7,9.2,84,1018,6.5,WSW,9.5,0.0,15,62,7.2,0,8.8,Cloudy,Overcast conditions
2024-01-02,06:00,New Delhi,28.6139,77.2090,10.2,50.4,7.8,88,1019,5.8,W,8.5,0.2,25,75,5.5,0,8.2,Light Rain,Light morning drizzle
2024-01-02,09:00,New Delhi,28.6139,77.2090,12.8,55.0,11.5,78,1018,8.2,WNW,12.8,0.5,35,68,7.8,2,9.0,Rain,Steady rainfall
2024-01-02,12:00,New Delhi,28.6139,77.2090,15.5,59.9,14.2,68,1016,11.5,NW,17.2,0.8,40,58,9.5,3,9.5,Rain,Moderate rain with clouds
2024-01-02,15:00,New Delhi,28.6139,77.2090,16.2,61.2,15.0,65,1015,13.2,NNW,19.5,0.3,30,52,10.8,3,9.8,Light Rain,Decreasing rainfall
2024-01-02,18:00,New Delhi,28.6139,77.2090,14.8,58.6,13.5,72,1016,10.5,N,15.2,0.0,18,45,11.2,1,10.2,Cloudy,Overcast evening
2024-01-02,21:00,New Delhi,28.6139,77.2090,13.2,55.8,11.8,78,1017,8.2,NE,12.0,0.0,12,52,9.5,0,9.8,Partly Cloudy,Clearing skies
2024-01-01,00:00,Mumbai,19.0760,72.8777,22.5,72.5,22.0,75,1012,12.5,W,18.5,0.0,5,35,12.0,2,18.2,Clear,Warm tropical night
2024-01-01,03:00,Mumbai,19.0760,72.8777,21.8,71.2,21.2,78,1013,11.2,WSW,16.8,0.0,8,42,11.5,1,17.8,Clear,Humid night conditions
2024-01-01,06:00,Mumbai,19.0760,72.8777,21.2,70.2,20.5,82,1014,10.5,SW,15.2,0.0,10,48,10.8,1,18.2,Haze,Morning haze near coast
