################################################################################
# Weather Forecasting Dataset - Extended Hourly Weather Data
# 
# Project: Weather Forecasting Dataset
# Category: Time Series Data
# Version: 1.0.0
# Created: 2024
#
# Author: Molla Samser
# Designer & Tester: Rima Khatun
# Website: https://rskworld.in
# Email: help@rskworld.in | support@rskworld.in
# Phone: +91 93305 39277
#
# About RSK World:
# RSK World is your one-stop destination for free programming resources,
# source code, and development tools.
#
# Description:
# Extended hourly weather data with additional meteorological parameters.
#
# © 2024 RSK World - https://rskworld.in
################################################################################

datetime,location,temperature_celsius,humidity_percent,pressure_hpa,wind_speed_kmh,wind_direction_degrees,precipitation_mm,cloud_cover_percent,solar_radiation_wm2,soil_temperature_celsius,soil_moisture_percent,air_quality_index,visibility_km,weather_code
2024-01-01 00:00:00,New Delhi,12.5,78,1015,8.5,45,0.0,45,0,10.2,35,125,8.5,0
2024-01-01 01:00:00,New Delhi,12.0,79,1015,8.2,42,0.0,47,0,10.0,35,128,8.2,0
2024-01-01 02:00:00,New Delhi,11.5,81,1016,7.8,40,0.0,50,0,9.8,36,130,7.9,0
2024-01-01 03:00:00,New Delhi,11.2,82,1016,7.2,38,0.0,52,0,9.5,36,132,7.8,0
2024-01-01 04:00:00,New Delhi,10.8,84,1017,6.8,35,0.0,55,0,9.2,37,135,7.2,0
2024-01-01 05:00:00,New Delhi,10.5,85,1017,6.5,32,0.0,58,0,9.0,37,138,6.8,0
2024-01-01 06:00:00,New Delhi,10.8,85,1017,6.8,30,0.0,60,25,9.2,37,140,6.5,45
2024-01-01 07:00:00,New Delhi,11.5,82,1018,7.5,35,0.0,55,85,9.8,36,138,7.5,0
2024-01-01 08:00:00,New Delhi,13.0,76,1018,8.5,42,0.0,45,180,10.8,35,135,9.0,0
2024-01-01 09:00:00,New Delhi,14.5,72,1018,9.5,48,0.0,35,320,12.0,34,130,10.2,0
2024-01-01 10:00:00,New Delhi,16.2,65,1017,10.8,55,0.0,30,450,13.5,33,125,11.5,0
2024-01-01 11:00:00,New Delhi,17.5,60,1016,11.8,62,0.0,28,550,14.8,32,120,12.2,0
2024-01-01 12:00:00,New Delhi,18.2,58,1016,12.3,68,0.0,28,580,15.5,31,118,12.5,0
2024-01-01 13:00:00,New Delhi,18.8,55,1015,13.0,72,0.0,25,560,16.0,30,115,13.0,0
2024-01-01 14:00:00,New Delhi,19.2,53,1014,14.0,78,0.0,22,480,16.2,30,112,13.5,0
2024-01-01 15:00:00,New Delhi,19.5,52,1014,14.5,82,0.0,22,380,16.5,29,110,14.0,0
2024-01-01 16:00:00,New Delhi,18.8,55,1015,13.5,85,0.0,28,250,15.8,30,112,13.2,0
2024-01-01 17:00:00,New Delhi,17.8,60,1015,12.0,88,0.0,32,120,14.8,31,118,12.0,0
2024-01-01 18:00:00,New Delhi,16.8,65,1015,10.2,90,0.0,38,25,13.5,32,125,11.5,0
2024-01-01 19:00:00,New Delhi,15.8,70,1016,9.5,88,0.0,42,0,12.5,33,130,10.5,0
2024-01-01 20:00:00,New Delhi,15.0,72,1016,8.8,85,0.0,45,0,11.8,34,135,9.8,0
2024-01-01 21:00:00,New Delhi,14.2,75,1016,8.5,82,0.0,48,0,11.0,35,138,9.2,0
2024-01-01 22:00:00,New Delhi,13.5,77,1017,8.0,78,0.0,50,0,10.5,35,140,8.8,0
2024-01-01 23:00:00,New Delhi,13.0,78,1017,7.8,72,0.0,52,0,10.2,36,142,8.5,0
2024-01-01 00:00:00,Mumbai,22.5,75,1012,12.5,270,0.0,35,0,20.5,42,85,12.0,0
2024-01-01 01:00:00,Mumbai,22.2,76,1012,12.0,268,0.0,38,0,20.2,42,82,11.8,0
2024-01-01 02:00:00,Mumbai,22.0,77,1013,11.5,265,0.0,40,0,20.0,43,80,11.5,0
2024-01-01 03:00:00,Mumbai,21.8,78,1013,11.2,262,0.0,42,0,19.8,43,78,11.5,0
2024-01-01 04:00:00,Mumbai,21.5,79,1014,10.8,258,0.0,44,0,19.5,44,76,11.2,0
2024-01-01 05:00:00,Mumbai,21.2,80,1014,10.5,255,0.0,46,0,19.2,44,75,10.8,0
2024-01-01 06:00:00,Mumbai,21.2,82,1014,10.5,252,0.0,48,30,19.2,44,75,10.8,51
2024-01-01 07:00:00,Mumbai,22.0,79,1015,11.5,255,0.0,42,120,19.8,43,72,11.5,0
2024-01-01 08:00:00,Mumbai,23.5,74,1015,13.0,260,0.0,36,280,21.0,42,70,13.0,0
2024-01-01 09:00:00,Mumbai,25.5,68,1015,14.2,265,0.0,32,420,22.5,40,68,14.5,0
2024-01-01 10:00:00,Mumbai,27.5,62,1014,15.5,272,0.0,25,580,24.0,38,65,15.5,0
2024-01-01 11:00:00,Mumbai,29.0,57,1013,16.5,280,0.0,20,680,25.5,36,62,16.2,0
2024-01-01 12:00:00,Mumbai,29.8,55,1013,16.8,285,0.0,18,720,26.0,35,60,16.0,0
2024-01-01 13:00:00,Mumbai,30.5,52,1012,17.5,290,0.0,16,700,26.5,34,58,16.5,0
2024-01-01 14:00:00,Mumbai,31.0,50,1011,18.2,295,0.0,15,620,27.0,33,56,17.0,0
2024-01-01 15:00:00,Mumbai,31.2,48,1011,18.5,298,0.0,15,520,27.2,32,55,18.5,0
2024-01-01 16:00:00,Mumbai,30.5,52,1012,17.8,295,0.0,18,380,26.5,34,58,17.0,0
2024-01-01 17:00:00,Mumbai,29.5,56,1012,16.5,290,0.0,22,220,25.5,35,62,16.0,0
2024-01-01 18:00:00,Mumbai,28.5,58,1012,15.2,285,0.0,25,60,24.5,36,65,15.2,0
2024-01-01 19:00:00,Mumbai,27.0,62,1013,14.2,280,0.0,28,0,23.5,38,68,14.2,0
2024-01-01 20:00:00,Mumbai,26.0,65,1013,13.5,275,0.0,30,0,22.5,40,70,13.8,0
2024-01-01 21:00:00,Mumbai,25.2,68,1013,13.5,270,0.0,32,0,21.8,40,72,13.8,0
2024-01-01 22:00:00,Mumbai,24.5,70,1014,13.0,268,0.0,34,0,21.2,41,75,13.2,0
2024-01-01 23:00:00,Mumbai,23.8,72,1014,12.5,265,0.0,36,0,20.8,42,78,12.8,0
2024-01-01 00:00:00,Bangalore,18.5,72,1015,8.5,45,0.0,42,0,16.0,38,55,10.5,0
2024-01-01 01:00:00,Bangalore,18.0,74,1015,8.0,42,0.0,44,0,15.5,38,52,10.2,0
2024-01-01 02:00:00,Bangalore,17.5,76,1016,7.5,40,0.0,46,0,15.0,39,50,9.8,0
2024-01-01 03:00:00,Bangalore,17.2,78,1016,7.2,38,0.0,48,0,14.8,39,48,9.8,0
2024-01-01 04:00:00,Bangalore,16.8,80,1017,6.8,35,0.0,52,0,14.5,40,46,9.2,0
2024-01-01 05:00:00,Bangalore,16.5,81,1017,6.5,32,0.0,54,0,14.2,40,45,8.8,0
2024-01-01 06:00:00,Bangalore,16.5,82,1017,6.5,30,0.0,55,20,14.2,40,45,8.5,10
2024-01-01 07:00:00,Bangalore,17.5,78,1018,7.5,35,0.0,48,100,15.0,39,43,9.5,0
2024-01-01 08:00:00,Bangalore,20.0,68,1018,9.0,45,0.0,40,250,17.0,37,42,11.5,0
2024-01-01 09:00:00,Bangalore,22.5,62,1018,10.5,52,0.0,35,380,19.0,35,40,12.8,0
2024-01-01 10:00:00,Bangalore,25.0,54,1017,12.0,60,0.0,28,520,21.0,33,38,14.2,0
2024-01-01 11:00:00,Bangalore,27.0,48,1016,13.0,68,0.0,24,620,23.0,31,36,15.0,0
2024-01-01 12:00:00,Bangalore,27.8,48,1016,13.2,72,0.0,22,680,23.5,30,35,15.2,0
2024-01-01 13:00:00,Bangalore,28.2,46,1015,14.0,78,0.0,20,660,24.0,29,34,15.8,0
2024-01-01 14:00:00,Bangalore,28.5,45,1014,14.5,82,0.0,18,580,24.2,29,33,16.2,0
2024-01-01 15:00:00,Bangalore,28.5,45,1014,14.8,85,0.0,18,480,24.2,28,33,16.5,0
2024-01-01 16:00:00,Bangalore,27.5,48,1015,13.5,82,0.0,22,350,23.5,30,35,15.5,0
2024-01-01 17:00:00,Bangalore,26.2,52,1015,12.2,78,0.0,26,200,22.0,32,38,14.5,0
2024-01-01 18:00:00,Bangalore,25.2,55,1015,11.5,75,0.0,28,50,21.0,33,40,14.0,0
2024-01-01 19:00:00,Bangalore,23.5,60,1016,10.2,70,0.0,32,0,19.5,35,42,12.8,0
2024-01-01 20:00:00,Bangalore,22.5,62,1016,9.5,65,0.0,35,0,18.5,36,45,12.0,0
2024-01-01 21:00:00,Bangalore,21.5,65,1016,9.2,60,0.0,38,0,17.5,37,48,11.5,0
2024-01-01 22:00:00,Bangalore,20.5,68,1017,8.8,55,0.0,40,0,16.8,38,50,10.8,0
2024-01-01 23:00:00,Bangalore,19.5,70,1017,8.2,50,0.0,42,0,16.2,38,52,10.5,0

